"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","MDPR","MDSF","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","TOBS","WESD","WESF"
"USR0000CDOW","DOWD JUNCTION COLORADO, CO US","39.6269","-106.4517","2742.6","2008-10-24",,,,,,"35","48","23",,,
"USR0000CDOW","DOWD JUNCTION COLORADO, CO US","39.6269","-106.4517","2742.6","2008-10-25",,,,,,"42","58","26",,,
"USR0000CDOW","DOWD JUNCTION COLORADO, CO US","39.6269","-106.4517","2742.6","2008-10-26",,,,,,"41","55","27",,,
"USR0000CDOW","DOWD JUNCTION COLORADO, CO US","39.6269","-106.4517","2742.6","2008-10-27",,,,,,"41","61","26",,,
"USR0000CDOW","DOWD JUNCTION COLORADO, CO US","39.6269","-106.4517","2742.6","2008-10-28",,,,,,"42","61","29",,,
"USR0000CDOW","DOWD JUNCTION COLORADO, CO US","39.6269","-106.4517","2742.6","2008-10-29",,,,,,"44","61","30",,,
"USR0000CDOW","DOWD JUNCTION COLORADO, CO US","39.6269","-106.4517","2742.6","2008-10-30",,,,,,"46","60","34",,,
"USR0000CDOW","DOWD JUNCTION COLORADO, CO US","39.6269","-106.4517","2742.6","2008-10-31",,,,,,"44","60","29",,,
"USR0000CDOW","DOWD JUNCTION COLORADO, CO US","39.6269","-106.4517","2742.6","2008-11-01",,,,,,"43","60","32",,,
"USR0000CDOW","DOWD JUNCTION COLORADO, CO US","39.6269","-106.4517","2742.6","2008-11-02",,,,,,"45","61","33",,,
"USR0000CDOW","DOWD JUNCTION COLORADO, CO US","39.6269","-106.4517","2742.6","2008-11-03",,,,,,"41","53","34",,,
"USR0000CDOW","DOWD JUNCTION COLORADO, CO US","39.6269","-106.4517","2742.6","2008-11-04",,,,,,"37","47","25",,,
"USR0000CDOW","DOWD JUNCTION COLORADO, CO US","39.6269","-106.4517","2742.6","2008-11-05",,,,,,"21","27","15",,,
"USR0000CDOW","DOWD JUNCTION COLORADO, CO US","39.6269","-106.4517","2742.6","2008-11-06",,,,,,"16","26","9",,,
"USR0000CDOW","DOWD JUNCTION COLORADO, CO US","39.6269","-106.4517","2742.6","2008-11-07",,,,,,"19","31","4",,,
"USR0000CDOW","DOWD JUNCTION COLORADO, CO US","39.6269","-106.4517","2742.6","2008-11-08",,,,,,"32","39","27",,,
"USR0000CDOW","DOWD JUNCTION COLORADO, CO US","39.6269","-106.4517","2742.6","2008-11-09",,,,,,"32","43","23",,,
"USR0000CDOW","DOWD JUNCTION COLORADO, CO US","39.6269","-106.4517","2742.6","2008-11-10",,,,,,"30","38","24",,,
"USR0000CDOW","DOWD JUNCTION COLORADO, CO US","39.6269","-106.4517","2742.6","2008-11-11",,,,,,"29","35","26",,,
"USR0000CDOW","DOWD JUNCTION COLORADO, CO US","39.6269","-106.4517","2742.6","2008-11-12",,,,,,"29","32","26",,,
"USR0000CDOW","DOWD JUNCTION COLORADO, CO US","39.6269","-106.4517","2742.6","2008-11-13",,,,,,"35","42","29",,,
"USR0000CDOW","DOWD JUNCTION COLORADO, CO US","39.6269","-106.4517","2742.6","2008-11-14",,,,,,"23","35","11",,,
"USR0000CDOW","DOWD JUNCTION COLORADO, CO US","39.6269","-106.4517","2742.6","2008-11-15",,,,,,"24","41","7",,,
"USR0000CDOW","DOWD JUNCTION COLORADO, CO US","39.6269","-106.4517","2742.6","2008-11-16",,,,,,"34","47","20",,,
"USR0000CDOW","DOWD JUNCTION COLORADO, CO US","39.6269","-106.4517","2742.6","2008-11-17",,,,,,"36","54","26",,,
"USR0000CDOW","DOWD JUNCTION COLORADO, CO US","39.6269","-106.4517","2742.6","2008-11-18",,,,,,"40","63","27",,,
"USR0000CDOW","DOWD JUNCTION COLORADO, CO US","39.6269","-106.4517","2742.6","2008-11-19",,,,,,"37","54","28",,,
"USR0000CDOW","DOWD JUNCTION COLORADO, CO US","39.6269","-106.4517","2742.6","2008-11-20",,,,,,"32","42","24",,,
"USR0000CDOW","DOWD JUNCTION COLORADO, CO US","39.6269","-106.4517","2742.6","2008-11-21",,,,,,"31","41","23",,,
"USR0000CDOW","DOWD JUNCTION COLORADO, CO US","39.6269","-106.4517","2742.6","2008-11-22",,,,,,"32","47","20",,,
"USR0000CDOW","DOWD JUNCTION COLORADO, CO US","39.6269","-106.4517","2742.6","2008-11-23",,,,,,"30","40","19",,,
"USR0000CDOW","DOWD JUNCTION COLORADO, CO US","39.6269","-106.4517","2742.6","2008-11-24",,,,,,"28","43","14",,,
"USR0000CDOW","DOWD JUNCTION COLORADO, CO US","39.6269","-106.4517","2742.6","2008-11-25",,,,,,"29","40","20",,,
"USR0000CDOW","DOWD JUNCTION COLORADO, CO US","39.6269","-106.4517","2742.6","2008-11-26",,,,,,"31","40","19",,,
"USR0000CDOW","DOWD JUNCTION COLORADO, CO US","39.6269","-106.4517","2742.6","2008-11-27",,,,,,"32","39","27",,,
"USR0000CDOW","DOWD JUNCTION COLORADO, CO US","39.6269","-106.4517","2742.6","2008-11-28",,,,,,"27","32","20",,,
"USR0000CDOW","DOWD JUNCTION COLORADO, CO US","39.6269","-106.4517","2742.6","2008-11-29",,,,,,"24","26","20",,,
"USR0000CDOW","DOWD JUNCTION COLORADO, CO US","39.6269","-106.4517","2742.6","2008-11-30",,,,,,"24","26","21",,,
"USR0000CDOW","DOWD JUNCTION COLORADO, CO US","39.6269","-106.4517","2742.6","2008-12-01",,,,,,"28","39","22",,,
"USR0000CDOW","DOWD JUNCTION COLORADO, CO US","39.6269","-106.4517","2742.6","2008-12-02",,,,,,"33","49","23",,,
"USR0000CDOW","DOWD JUNCTION COLORADO, CO US","39.6269","-106.4517","2742.6","2008-12-03",,,,,,"26","32","22",,,
"USR0000CDOW","DOWD JUNCTION COLORADO, CO US","39.6269","-106.4517","2742.6","2008-12-04",,,,,,"22","26","16",,,
"USR0000CDOW","DOWD JUNCTION COLORADO, CO US","39.6269","-106.4517","2742.6","2008-12-05",,,,,,"21","32","10",,,
"USR0000CDOW","DOWD JUNCTION COLORADO, CO US","39.6269","-106.4517","2742.6","2008-12-06",,,,,,"31","51","23",,,
"USR0000CDOW","DOWD JUNCTION COLORADO, CO US","39.6269","-106.4517","2742.6","2008-12-07",,,,,,"33","50","24",,,
"USR0000CDOW","DOWD JUNCTION COLORADO, CO US","39.6269","-106.4517","2742.6","2008-12-08",,,,,,"25","32","20",,,
"USR0000CDOW","DOWD JUNCTION COLORADO, CO US","39.6269","-106.4517","2742.6","2008-12-09",,,,,,"16","25","8",,,
"USR0000CDOW","DOWD JUNCTION COLORADO, CO US","39.6269","-106.4517","2742.6","2008-12-10",,,,,,"19","32","7",,,
"USR0000CDOW","DOWD JUNCTION COLORADO, CO US","39.6269","-106.4517","2742.6","2008-12-11",,,,,,"24","36","16",,,
"USR0000CDOW","DOWD JUNCTION COLORADO, CO US","39.6269","-106.4517","2742.6","2008-12-12",,,,,,"22","32","15",,,
"USR0000CDOW","DOWD JUNCTION COLORADO, CO US","39.6269","-106.4517","2742.6","2008-12-13",,,,,,"27","33","16",,,
"USR0000CDOW","DOWD JUNCTION COLORADO, CO US","39.6269","-106.4517","2742.6","2008-12-14",,,,,,"7","14","-6",,,
"USR0000CDOW","DOWD JUNCTION COLORADO, CO US","39.6269","-106.4517","2742.6","2008-12-15",,,,,,"7","24","-9",,,
"USR0000CDOW","DOWD JUNCTION COLORADO, CO US","39.6269","-106.4517","2742.6","2008-12-16",,,,,,"16","20","13",,,
"USR0000CDOW","DOWD JUNCTION COLORADO, CO US","39.6269","-106.4517","2742.6","2008-12-17",,,,,,"17","23","12",,,
"USR0000CDOW","DOWD JUNCTION COLORADO, CO US","39.6269","-106.4517","2742.6","2008-12-18",,,,,,"23","29","17",,,
"USR0000CDOW","DOWD JUNCTION COLORADO, CO US","39.6269","-106.4517","2742.6","2008-12-19",,,,,,"17","23","12",,,
"USR0000CDOW","DOWD JUNCTION COLORADO, CO US","39.6269","-106.4517","2742.6","2008-12-20",,,,,,"7","10","4",,,
"USR0000CDOW","DOWD JUNCTION COLORADO, CO US","39.6269","-106.4517","2742.6","2008-12-21",,,,,,"14","25","4",,,
"USR0000CDOW","DOWD JUNCTION COLORADO, CO US","39.6269","-106.4517","2742.6","2008-12-22",,,,,,"23","28","19",,,
"USR0000CDOW","DOWD JUNCTION COLORADO, CO US","39.6269","-106.4517","2742.6","2008-12-23",,,,,,"14","21","7",,,
"USR0000CDOW","DOWD JUNCTION COLORADO, CO US","39.6269","-106.4517","2742.6","2008-12-24",,,,,,"8","17","-2",,,
"USR0000CDOW","DOWD JUNCTION COLORADO, CO US","39.6269","-106.4517","2742.6","2008-12-25",,,,,,"21","31","10",,,
"USR0000CDOW","DOWD JUNCTION COLORADO, CO US","39.6269","-106.4517","2742.6","2008-12-26",,,,,,"15","26","0",,,
"USR0000CDOW","DOWD JUNCTION COLORADO, CO US","39.6269","-106.4517","2742.6","2008-12-27",,,,,,"2","9","-8",,,
"USR0000CDOW","DOWD JUNCTION COLORADO, CO US","39.6269","-106.4517","2742.6","2008-12-28",,,,,,"18","32","8",,,
"USR0000CDOW","DOWD JUNCTION COLORADO, CO US","39.6269","-106.4517","2742.6","2008-12-29",,,,,,"27","46","14",,,
"USR0000CDOW","DOWD JUNCTION COLORADO, CO US","39.6269","-106.4517","2742.6","2008-12-30",,,,,,"29","40","19",,,
"USR0000CDOW","DOWD JUNCTION COLORADO, CO US","39.6269","-106.4517","2742.6","2008-12-31",,,,,,"24","37","15",,,
"USR0000CDOW","DOWD JUNCTION COLORADO, CO US","39.6269","-106.4517","2742.6","2009-01-01",,,,,,"27","32","20",,,
"USR0000CDOW","DOWD JUNCTION COLORADO, CO US","39.6269","-106.4517","2742.6","2009-01-02",,,,,,"34","43","26",,,
"USR0000CDOW","DOWD JUNCTION COLORADO, CO US","39.6269","-106.4517","2742.6","2009-01-03",,,,,,"19","32","4",,,
"USR0000CDOW","DOWD JUNCTION COLORADO, CO US","39.6269","-106.4517","2742.6","2009-01-04",,,,,,"4","14","-5",,,
"USR0000CDOW","DOWD JUNCTION COLORADO, CO US","39.6269","-106.4517","2742.6","2009-01-05",,,,,,"9","20","-3",,,
"USR0000CDOW","DOWD JUNCTION COLORADO, CO US","39.6269","-106.4517","2742.6","2009-01-06",,,,,,"15","19","11",,,
"USR0000CDOW","DOWD JUNCTION COLORADO, CO US","39.6269","-106.4517","2742.6","2009-01-07",,,,,,"24","28","17",,,
"USR0000CDOW","DOWD JUNCTION COLORADO, CO US","39.6269","-106.4517","2742.6","2009-01-08",,,,,,"28","37","20",,,
"USR0000CDOW","DOWD JUNCTION COLORADO, CO US","39.6269","-106.4517","2742.6","2009-01-09",,,,,,"20","27","9",,,
"USR0000CDOW","DOWD JUNCTION COLORADO, CO US","39.6269","-106.4517","2742.6","2009-01-10",,,,,,"16","33","4",,,
"USR0000CDOW","DOWD JUNCTION COLORADO, CO US","39.6269","-106.4517","2742.6","2009-01-11",,,,,,"20","25","15",,,
"USR0000CDOW","DOWD JUNCTION COLORADO, CO US","39.6269","-106.4517","2742.6","2009-01-12",,,,,,"21","25","18",,,
"USR0000CDOW","DOWD JUNCTION COLORADO, CO US","39.6269","-106.4517","2742.6","2009-01-13",,,,,,"26","32","21",,,
"USR0000CDOW","DOWD JUNCTION COLORADO, CO US","39.6269","-106.4517","2742.6","2009-01-14",,,,,,"26","34","19",,,
"USR0000CDOW","DOWD JUNCTION COLORADO, CO US","39.6269","-106.4517","2742.6","2009-01-15",,,,,,"27","36","16",,,
"USR0000CDOW","DOWD JUNCTION COLORADO, CO US","39.6269","-106.4517","2742.6","2009-01-16",,,,,,"22","42","12",,,
"USR0000CDOW","DOWD JUNCTION COLORADO, CO US","39.6269","-106.4517","2742.6","2009-01-17",,,,,,"22","36","13",,,
"USR0000CDOW","DOWD JUNCTION COLORADO, CO US","39.6269","-106.4517","2742.6","2009-01-18",,,,,,"23","36","11",,,
"USR0000CDOW","DOWD JUNCTION COLORADO, CO US","39.6269","-106.4517","2742.6","2009-01-19",,,,,,"26","40","16",,,
"USR0000CDOW","DOWD JUNCTION COLORADO, CO US","39.6269","-106.4517","2742.6","2009-01-20",,,,,,"27","43","17",,,
"USR0000CDOW","DOWD JUNCTION COLORADO, CO US","39.6269","-106.4517","2742.6","2009-01-21",,,,,,"29","46","17",,,
"USR0000CDOW","DOWD JUNCTION COLORADO, CO US","39.6269","-106.4517","2742.6","2009-01-22",,,,,,"33","42","25",,,
"USR0000CDOW","DOWD JUNCTION COLORADO, CO US","39.6269","-106.4517","2742.6","2009-01-23",,,,,,"31","33","29",,,
"USR0000CDOW","DOWD JUNCTION COLORADO, CO US","39.6269","-106.4517","2742.6","2009-01-24",,,,,,"31","37","28",,,
"USR0000CDOW","DOWD JUNCTION COLORADO, CO US","39.6269","-106.4517","2742.6","2009-01-25",,,,,,"28","32","25",,,
"USR0000CDOW","DOWD JUNCTION COLORADO, CO US","39.6269","-106.4517","2742.6","2009-01-26",,,,,,"22","29","17",,,
"USR0000CDOW","DOWD JUNCTION COLORADO, CO US","39.6269","-106.4517","2742.6","2009-01-27",,,,,,"8","16","1",,,
"USR0000CDOW","DOWD JUNCTION COLORADO, CO US","39.6269","-106.4517","2742.6","2009-01-28",,,,,,"11","16","4",,,
"USR0000CDOW","DOWD JUNCTION COLORADO, CO US","39.6269","-106.4517","2742.6","2009-01-29",,,,,,"15","21","9",,,
"USR0000CDOW","DOWD JUNCTION COLORADO, CO US","39.6269","-106.4517","2742.6","2009-01-30",,,,,,"21","41","11",,,
"USR0000CDOW","DOWD JUNCTION COLORADO, CO US","39.6269","-106.4517","2742.6","2009-01-31",,,,,,"21","33","10",,,
"USR0000CDOW","DOWD JUNCTION COLORADO, CO US","39.6269","-106.4517","2742.6","2009-02-01",,,,,,"22","31","14",,,
"USR0000CDOW","DOWD JUNCTION COLORADO, CO US","39.6269","-106.4517","2742.6","2009-02-02",,,,,,"25","34","15",,,
"USR0000CDOW","DOWD JUNCTION COLORADO, CO US","39.6269","-106.4517","2742.6","2009-02-03",,,,,,"29","43","17",,,
"USR0000CDOW","DOWD JUNCTION COLORADO, CO US","39.6269","-106.4517","2742.6","2009-02-04",,,,,,"26","45","14",,,
"USR0000CDOW","DOWD JUNCTION COLORADO, CO US","39.6269","-106.4517","2742.6","2009-02-05",,,,,,"31","56","18",,,
"USR0000CDOW","DOWD JUNCTION COLORADO, CO US","39.6269","-106.4517","2742.6","2009-02-06",,,,,,"29","36","24",,,
"USR0000CDOW","DOWD JUNCTION COLORADO, CO US","39.6269","-106.4517","2742.6","2009-02-07",,,,,,"30","44","23",,,
"USR0000CDOW","DOWD JUNCTION COLORADO, CO US","39.6269","-106.4517","2742.6","2009-02-08",,,,,,"32","42","23",,,
"USR0000CDOW","DOWD JUNCTION COLORADO, CO US","39.6269","-106.4517","2742.6","2009-02-09",,,,,,"22","30","16",,,
"USR0000CDOW","DOWD JUNCTION COLORADO, CO US","39.6269","-106.4517","2742.6","2009-02-10",,,,,,"20","26","15",,,
"USR0000CDOW","DOWD JUNCTION COLORADO, CO US","39.6269","-106.4517","2742.6","2009-02-11",,,,,,"18","27","12",,,
"USR0000CDOW","DOWD JUNCTION COLORADO, CO US","39.6269","-106.4517","2742.6","2009-02-12",,,,,,"18","29","4",,,
"USR0000CDOW","DOWD JUNCTION COLORADO, CO US","39.6269","-106.4517","2742.6","2009-02-13",,,,,,"20","32","14",,,
"USR0000CDOW","DOWD JUNCTION COLORADO, CO US","39.6269","-106.4517","2742.6","2009-02-14",,,,,,"18","29","15",,,
"USR0000CDOW","DOWD JUNCTION COLORADO, CO US","39.6269","-106.4517","2742.6","2009-02-15",,,,,,"19","31","7",,,
"USR0000CDOW","DOWD JUNCTION COLORADO, CO US","39.6269","-106.4517","2742.6","2009-02-16",,,,,,"26","37","12",,,
"USR0000CDOW","DOWD JUNCTION COLORADO, CO US","39.6269","-106.4517","2742.6","2009-02-17",,,,,,"24","29","19",,,
"USR0000CDOW","DOWD JUNCTION COLORADO, CO US","39.6269","-106.4517","2742.6","2009-02-18",,,,,,"20","26","16",,,
"USR0000CDOW","DOWD JUNCTION COLORADO, CO US","39.6269","-106.4517","2742.6","2009-02-19",,,,,,"19","28","8",,,
"USR0000CDOW","DOWD JUNCTION COLORADO, CO US","39.6269","-106.4517","2742.6","2009-02-20",,,,,,"20","33","4",,,
"USR0000CDOW","DOWD JUNCTION COLORADO, CO US","39.6269","-106.4517","2742.6","2009-02-21",,,,,,"23","36","9",,,
"USR0000CDOW","DOWD JUNCTION COLORADO, CO US","39.6269","-106.4517","2742.6","2009-02-22",,,,,,"32","42","19",,,
"USR0000CDOW","DOWD JUNCTION COLORADO, CO US","39.6269","-106.4517","2742.6","2009-02-23",,,,,,"32","37","28",,,
"USR0000CDOW","DOWD JUNCTION COLORADO, CO US","39.6269","-106.4517","2742.6","2009-02-24",,,,,,"36","46","31",,,
"USR0000CDOW","DOWD JUNCTION COLORADO, CO US","39.6269","-106.4517","2742.6","2009-02-25",,,,,,"37","51","24",,,
"USR0000CDOW","DOWD JUNCTION COLORADO, CO US","39.6269","-106.4517","2742.6","2009-02-26",,,,,,"31","35","29",,,
"USR0000CDOW","DOWD JUNCTION COLORADO, CO US","39.6269","-106.4517","2742.6","2009-02-27",,,,,,"20","33","4",,,
"USR0000CDOW","DOWD JUNCTION COLORADO, CO US","39.6269","-106.4517","2742.6","2009-02-28",,,,,,"17","32","0",,,
"USR0000CDOW","DOWD JUNCTION COLORADO, CO US","39.6269","-106.4517","2742.6","2009-03-01",,,,,,"32","47","15",,,
"USR0000CDOW","DOWD JUNCTION COLORADO, CO US","39.6269","-106.4517","2742.6","2009-03-02",,,,,,"41","55","30",,,
"USR0000CDOW","DOWD JUNCTION COLORADO, CO US","39.6269","-106.4517","2742.6","2009-03-03",,,,,,"41","48","33",,,
"USR0000CDOW","DOWD JUNCTION COLORADO, CO US","39.6269","-106.4517","2742.6","2009-03-04",,,,,,"42","53","31",,,
"USR0000CDOW","DOWD JUNCTION COLORADO, CO US","39.6269","-106.4517","2742.6","2009-03-05",,,,,,"32","37","24",,,
"USR0000CDOW","DOWD JUNCTION COLORADO, CO US","39.6269","-106.4517","2742.6","2009-03-06",,,,,,"31","37","25",,,
"USR0000CDOW","DOWD JUNCTION COLORADO, CO US","39.6269","-106.4517","2742.6","2009-03-07",,,,,,"24","32","19",,,
"USR0000CDOW","DOWD JUNCTION COLORADO, CO US","39.6269","-106.4517","2742.6","2009-03-08",,,,,,"26","42","11",,,
"USR0000CDOW","DOWD JUNCTION COLORADO, CO US","39.6269","-106.4517","2742.6","2009-03-09",,,,,,"33","49","21",,,
"USR0000CDOW","DOWD JUNCTION COLORADO, CO US","39.6269","-106.4517","2742.6","2009-03-10",,,,,,"15","23","6",,,
"USR0000CDOW","DOWD JUNCTION COLORADO, CO US","39.6269","-106.4517","2742.6","2009-03-11",,,,,,"22","38","4",,,
"USR0000CDOW","DOWD JUNCTION COLORADO, CO US","39.6269","-106.4517","2742.6","2009-03-12",,,,,,"28","40","16",,,
"USR0000CDOW","DOWD JUNCTION COLORADO, CO US","39.6269","-106.4517","2742.6","2009-03-13",,,,,,"26","40","12",,,
"USR0000CDOW","DOWD JUNCTION COLORADO, CO US","39.6269","-106.4517","2742.6","2009-03-14",,,,,,"27","41","10",,,
"USR0000CDOW","DOWD JUNCTION COLORADO, CO US","39.6269","-106.4517","2742.6","2009-03-15",,,,,,"31","43","17",,,
"USR0000CDOW","DOWD JUNCTION COLORADO, CO US","39.6269","-106.4517","2742.6","2009-03-16",,,,,,"36","52","22",,,
"USR0000CDOW","DOWD JUNCTION COLORADO, CO US","39.6269","-106.4517","2742.6","2009-03-17",,,,,,"39","50","27",,,
"USR0000CDOW","DOWD JUNCTION COLORADO, CO US","39.6269","-106.4517","2742.6","2009-03-18",,,,,,"39","48","30",,,
"USR0000CDOW","DOWD JUNCTION COLORADO, CO US","39.6269","-106.4517","2742.6","2009-03-19",,,,,,"38","51","26",,,
"USR0000CDOW","DOWD JUNCTION COLORADO, CO US","39.6269","-106.4517","2742.6","2009-03-20",,,,,,"42","59","29",,,
"USR0000CDOW","DOWD JUNCTION COLORADO, CO US","39.6269","-106.4517","2742.6","2009-03-21",,,,,,"44","60","34",,,
"USR0000CDOW","DOWD JUNCTION COLORADO, CO US","39.6269","-106.4517","2742.6","2009-03-22",,,,,,"44","57","28",,,
"USR0000CDOW","DOWD JUNCTION COLORADO, CO US","39.6269","-106.4517","2742.6","2009-03-23",,,,,,"25","31","19",,,
"USR0000CDOW","DOWD JUNCTION COLORADO, CO US","39.6269","-106.4517","2742.6","2009-03-24",,,,,,"24","34","18",,,
"USR0000CDOW","DOWD JUNCTION COLORADO, CO US","39.6269","-106.4517","2742.6","2009-03-25",,,,,,"22","29","18",,,
"USR0000CDOW","DOWD JUNCTION COLORADO, CO US","39.6269","-106.4517","2742.6","2009-03-26",,,,,,"20","29","12",,,
"USR0000CDOW","DOWD JUNCTION COLORADO, CO US","39.6269","-106.4517","2742.6","2009-03-27",,,,,,"18","29","6",,,
"USR0000CDOW","DOWD JUNCTION COLORADO, CO US","39.6269","-106.4517","2742.6","2009-03-28",,,,,,"25","36","9",,,
"USR0000CDOW","DOWD JUNCTION COLORADO, CO US","39.6269","-106.4517","2742.6","2009-03-29",,,,,,"31","50","16",,,
"USR0000CDOW","DOWD JUNCTION COLORADO, CO US","39.6269","-106.4517","2742.6","2009-03-30",,,,,,"14","18","10",,,
"USR0000CDOW","DOWD JUNCTION COLORADO, CO US","39.6269","-106.4517","2742.6","2009-03-31",,,,,,"19","26","11",,,
"USR0000CDOW","DOWD JUNCTION COLORADO, CO US","39.6269","-106.4517","2742.6","2009-04-01",,,,,,"20","29","15",,,
"USR0000CDOW","DOWD JUNCTION COLORADO, CO US","39.6269","-106.4517","2742.6","2009-04-02",,,,,,"25","34","9",,,
"USR0000CDOW","DOWD JUNCTION COLORADO, CO US","39.6269","-106.4517","2742.6","2009-04-03",,,,,,"30","37","26",,,
"USR0000CDOW","DOWD JUNCTION COLORADO, CO US","39.6269","-106.4517","2742.6","2009-04-04",,,,,,"22","27","10",,,
"USR0000CDOW","DOWD JUNCTION COLORADO, CO US","39.6269","-106.4517","2742.6","2009-04-05",,,,,,"17","28","5",,,
"USR0000CDOW","DOWD JUNCTION COLORADO, CO US","39.6269","-106.4517","2742.6","2009-04-06",,,,,,"22","36","1",,,
"USR0000CDOW","DOWD JUNCTION COLORADO, CO US","39.6269","-106.4517","2742.6","2009-04-07",,,,,,"31","46","12",,,
"USR0000CDOW","DOWD JUNCTION COLORADO, CO US","39.6269","-106.4517","2742.6","2009-04-08",,,,,,"39","58","24",,,
"USR0000CDOW","DOWD JUNCTION COLORADO, CO US","39.6269","-106.4517","2742.6","2009-04-09",,,,,,"29","36","23",,,
"USR0000CDOW","DOWD JUNCTION COLORADO, CO US","39.6269","-106.4517","2742.6","2009-04-10",,,,,,"38","57","22",,,
"USR0000CDOW","DOWD JUNCTION COLORADO, CO US","39.6269","-106.4517","2742.6","2009-04-11",,,,,,"35","47","29",,,
"USR0000CDOW","DOWD JUNCTION COLORADO, CO US","39.6269","-106.4517","2742.6","2009-04-12",,,,,,"31","34","28",,,
"USR0000CDOW","DOWD JUNCTION COLORADO, CO US","39.6269","-106.4517","2742.6","2009-04-13",,,,,,"38","51","27",,,
"USR0000CDOW","DOWD JUNCTION COLORADO, CO US","39.6269","-106.4517","2742.6","2009-04-14",,,,,,"40","52","27",,,
"USR0000CDOW","DOWD JUNCTION COLORADO, CO US","39.6269","-106.4517","2742.6","2009-04-15",,,,,,"43","56","32",,,
"USR0000CDOW","DOWD JUNCTION COLORADO, CO US","39.6269","-106.4517","2742.6","2009-04-16",,,,,,"26","36","23",,,
"USR0000CDOW","DOWD JUNCTION COLORADO, CO US","39.6269","-106.4517","2742.6","2009-04-17",,,,,,"29","45","22",,,
"USR0000CDOW","DOWD JUNCTION COLORADO, CO US","39.6269","-106.4517","2742.6","2009-04-18",,,,,,"32","42","26",,,
"USR0000CDOW","DOWD JUNCTION COLORADO, CO US","39.6269","-106.4517","2742.6","2009-04-19",,,,,,"36","48","21",,,
"USR0000CDOW","DOWD JUNCTION COLORADO, CO US","39.6269","-106.4517","2742.6","2009-04-20",,,,,,"42","52","30",,,
"USR0000CDOW","DOWD JUNCTION COLORADO, CO US","39.6269","-106.4517","2742.6","2009-04-21",,,,,,"45","58","30",,,
